DATE,TIME,SITE ID,PERSON ID,LOCATION,SHIFT,DURATION,LABEL,ISSUE TYPE,RANK
19-01-19,15:19:56,6,1450,cochin,Day,14,0,machine-malfunction,10
05-01-19,19:45:37,6,1102,cochin,Night,6,0,machine-malfunction,10
17-01-19,21:30:35,6,1589,cochin,Night,8,0,machine-malfunction,10
26-01-19,13:23:48,6,1091,cochin,Day,6,0,machine-malfunction,10
26-01-19,13:34:15,6,1488,cochin,Day,11,0,machine-malfunction,10
21-01-19,02:23:58,6,1608,cochin,Night,12,0,machine-malfunction,10
26-01-19,15:19:19,6,1396,cochin,Day,14,0,machine-malfunction,10
09-01-19,13:15:27,6,1330,cochin,Day,9,0,machine-malfunction,10
24-01-19,02:13:17,6,1975,cochin,Night,13,0,machine-malfunction,10
16-01-19,02:52:47,6,1305,cochin,Night,5,0,machine-malfunction,10
05-01-19,11:05:21,6,1377,cochin,Day,13,0,machine-malfunction,10
05-01-19,20:37:25,6,1963,cochin,Night,6,0,machine-malfunction,10
09-01-19,10:39:49,6,1374,cochin,Day,11,0,machine-malfunction,10
24-01-19,08:24:19,6,1579,cochin,Day,12,0,machine-malfunction,10
31-01-19,21:40:12,6,1879,cochin,Night,8,0,machine-malfunction,10
16-01-19,12:18:33,6,1650,cochin,Day,12,0,machine-malfunction,10
06-01-19,21:10:13,6,1808,cochin,Night,8,0,machine-malfunction,10
07-01-19,12:19:10,6,1397,cochin,Day,8,0,machine-malfunction,10
31-01-19,22:53:19,6,1891,cochin,Night,14,0,machine-malfunction,10
02-01-19,02:46:35,6,1048,cochin,Night,11,0,machine-malfunction,10
04-01-19,12:22:59,6,1039,cochin,Day,11,0,machine-malfunction,10
17-01-19,20:34:36,6,1714,cochin,Night,8,0,machine-malfunction,10
12-01-19,20:06:23,6,1866,cochin,Night,7,0,machine-malfunction,10
18-01-19,14:22:48,6,1914,cochin,Day,6,0,machine-malfunction,10
30-01-19,15:55:18,6,1502,cochin,Day,6,0,machine-malfunction,10
15-01-19,14:47:56,6,1693,cochin,Day,12,0,machine-malfunction,10
12-01-19,10:53:52,6,1083,cochin,Day,5,0,machine-malfunction,10
09-01-19,20:32:56,6,1843,cochin,Night,6,0,machine-malfunction,10
25-01-19,23:44:13,6,1828,cochin,Night,10,0,machine-malfunction,10
27-01-19,08:10:46,6,1981,cochin,Day,15,0,machine-malfunction,10
14-01-19,21:48:25,6,1336,cochin,Night,5,0,machine-malfunction,10
27-01-19,11:24:39,6,1133,cochin,Day,15,0,machine-malfunction,10
07-01-19,09:45:03,6,1399,cochin,Day,10,0,machine-malfunction,10
19-01-19,15:57:46,7,1463,coimbatore,Day,13,0,machine-malfunction,10
01-01-19,13:11:45,7,1699,coimbatore,Day,7,0,threading-process,6
01-02-19,12:10:37,7,1101,coimbatore,Day,13,0,ear-safety,1
30-01-19,10:41:59,7,1205,coimbatore,Day,5,0,machine-malfunction,10
19-01-19,01:08:07,7,1498,coimbatore,Night,11,0,emboidery-inprocess,0
26-01-19,10:07:37,7,1345,coimbatore,Day,6,0,repair-proccess,7
13-01-19,21:25:01,7,1133,coimbatore,Night,14,0,threading-process,6
30-01-19,12:07:15,7,1056,coimbatore,Day,11,0,normal-operation,2
28-01-19,08:06:47,7,1966,coimbatore,Day,15,0,ear-safety,1
31-01-19,11:49:46,7,1477,coimbatore,Day,6,0,labour-malpractice,9
26-01-19,01:31:40,7,1292,coimbatore,Night,5,0,material-fixing,4
17-01-19,15:51:36,7,1399,coimbatore,Day,13,0,design-fixing,5
21-01-19,08:42:31,7,1332,coimbatore,Day,15,0,threading-process,6
28-01-19,21:09:54,7,1711,coimbatore,Night,10,0,normal-operation,2
13-01-19,03:49:59,7,1912,coimbatore,Night,5,0,emboidery-inprocess,0
11-01-19,19:46:17,7,1375,coimbatore,Night,14,0,labour-malpractice,9
26-01-19,12:52:39,7,1110,coimbatore,Day,11,0,material-fixing,4
25-01-19,13:05:47,7,1198,coimbatore,Day,9,0,design-fixing,5
21-01-19,14:07:40,7,1189,coimbatore,Day,5,0,labour-malpractice,9
26-01-19,15:12:06,7,1512,coimbatore,Day,15,0,ear-safety,1
31-01-19,22:00:42,7,1279,coimbatore,Night,5,0,material-fixing,4
17-01-19,11:25:47,7,1041,coimbatore,Day,15,0,machine-malfunction,10
06-01-19,12:13:41,7,1449,coimbatore,Day,6,0,emboidery-inprocess,0
07-01-19,21:35:17,7,1187,coimbatore,Night,9,0,labour-malpractice,9
20-01-19,03:56:04,7,1182,coimbatore,Night,8,0,normal-operation,2
14-01-19,21:32:41,7,1496,coimbatore,Night,6,0,design-fixing,5
13-01-19,10:55:54,7,1966,coimbatore,Day,13,0,machine-malfunction,10
20-01-19,12:25:51,7,1055,coimbatore,Day,7,0,emboidery-inprocess,0
06-01-19,01:47:11,7,1657,coimbatore,Night,10,0,design-fixing,5
05-01-19,11:34:10,7,1395,coimbatore,Day,13,0,threading-process,6
22-01-19,12:44:45,7,1300,coimbatore,Day,14,0,machine-malfunction,10
12-01-19,01:03:35,7,1820,coimbatore,Night,12,0,design-fixing,5
15-01-19,10:36:21,7,1631,coimbatore,Day,7,0,ear-safety,1
02-01-19,03:03:51,7,1654,coimbatore,Night,7,0,repair-proccess,7
10-01-19,02:15:40,7,1679,coimbatore,Night,11,0,emboidery-inprocess,0
14-01-19,19:16:25,7,1405,coimbatore,Night,12,0,labour-malpractice,9
13-01-19,15:42:11,7,1740,coimbatore,Day,12,0,labour-malpractice,9
06-01-19,12:57:48,7,1493,coimbatore,Day,11,0,emboidery-inprocess,0
20-01-19,19:59:14,7,1882,coimbatore,Night,7,0,labour-malpractice,9
20-01-19,21:04:42,7,1981,coimbatore,Night,5,0,design-fixing,5
30-01-19,14:06:21,8,1510,dholpur,Day,14,0,machine-malfunction,10
20-01-19,20:22:37,8,1818,dholpur,Night,11,0,ear-safety,1
11-01-19,01:49:23,8,1545,dholpur,Night,14,0,design-fixing,5
23-01-19,01:36:15,8,1105,dholpur,Night,13,0,design-fixing,5
26-01-19,03:25:24,8,1552,dholpur,Night,5,0,normal-operation,2
10-01-19,08:51:22,8,1492,dholpur,Day,5,0,ear-safety,1
05-01-19,11:02:37,8,1363,dholpur,Day,14,0,design-fixing,5
23-01-19,19:39:54,8,1540,dholpur,Night,8,0,ear-safety,1
07-01-19,18:33:03,8,1380,dholpur,Night,11,0,emboidery-inprocess,0
19-01-19,09:17:34,8,1252,dholpur,Day,10,0,labour-malpractice,9
10-01-19,15:53:51,8,1892,dholpur,Day,5,0,ear-safety,1
16-01-19,20:10:51,8,1327,dholpur,Night,5,0,ear-safety,1
27-01-19,01:11:32,8,1455,dholpur,Night,14,0,ear-safety,1
12-01-19,09:48:36,8,1839,dholpur,Day,9,0,ear-safety,1
22-01-19,15:42:28,8,1629,dholpur,Day,6,0,repair-proccess,7
06-01-19,12:00:13,8,1319,dholpur,Day,8,0,ear-safety,1
13-01-19,11:45:46,8,1007,dholpur,Day,5,0,normal-operation,2
28-01-19,02:12:19,8,1453,dholpur,Night,10,0,labour-malpractice,9
01-02-19,21:50:54,8,1805,dholpur,Night,11,0,machine-malfunction,10
10-01-19,15:27:18,8,1340,dholpur,Day,9,0,material-fixing,4
19-01-19,14:35:50,8,1454,dholpur,Day,14,0,normal-operation,2
08-01-19,20:00:52,8,1430,dholpur,Night,5,0,design-fixing,5
13-01-19,09:13:29,8,1275,dholpur,Day,14,0,emboidery-inprocess,0
22-01-19,01:05:31,8,1746,dholpur,Night,8,0,labour-malpractice,9
07-01-19,08:36:19,8,1014,dholpur,Day,7,0,repair-proccess,7
12-01-19,13:46:00,8,1526,dholpur,Day,10,0,ear-safety,1
27-01-19,01:57:48,8,1718,dholpur,Night,15,0,labour-malpractice,9
16-01-19,13:45:21,8,1017,dholpur,Day,9,0,labour-malpractice,9
17-01-19,03:21:53,8,1176,dholpur,Night,10,0,labour-malpractice,9
26-01-19,21:40:49,8,1995,dholpur,Night,5,0,material-fixing,4
07-01-19,08:37:11,8,1821,dholpur,Day,13,0,machine-malfunction,10
09-01-19,18:54:07,8,1802,dholpur,Night,11,0,labour-malpractice,9
26-01-19,23:32:05,8,1799,dholpur,Night,13,0,threading-process,6
09-01-19,10:53:59,8,1360,dholpur,Day,13,0,material-fixing,4
27-01-19,20:55:42,8,1116,dholpur,Night,8,0,normal-operation,2
05-01-19,11:01:08,8,1940,dholpur,Day,15,0,threading-process,6
25-01-19,02:27:41,8,1670,dholpur,Night,11,0,ear-safety,1
02-01-19,02:25:22,8,1291,dholpur,Night,9,0,threading-process,6
25-01-19,02:44:00,8,1078,dholpur,Night,9,0,normal-operation,2
27-01-19,14:58:28,8,1315,dholpur,Day,12,0,labour-malpractice,9
02-01-19,22:27:52,9,1266,gaya,Night,6,0,labour-malpractice,9
31-01-19,09:38:03,9,1179,gaya,Day,15,0,repair-proccess,7
12-01-19,03:09:07,9,1551,gaya,Night,8,0,threading-process,6
31-01-19,08:38:47,9,1729,gaya,Day,12,0,material-fixing,4
13-01-19,21:28:00,9,1981,gaya,Night,6,0,material-fixing,4
10-01-19,20:52:07,9,1357,gaya,Night,15,0,repair-proccess,7
29-01-19,20:54:19,9,1217,gaya,Night,12,0,ear-safety,1
14-01-19,10:38:29,9,1108,gaya,Day,6,0,labour-malpractice,9
28-01-19,08:00:54,9,1485,gaya,Day,10,0,repair-proccess,7
12-01-19,18:04:44,9,1667,gaya,Night,11,0,labour-malpractice,9
21-01-19,03:41:27,9,1799,gaya,Night,7,0,design-fixing,5
15-01-19,01:54:51,9,1425,gaya,Night,12,0,normal-operation,2
10-01-19,13:40:37,9,1604,gaya,Day,7,0,machine-malfunction,10
03-01-19,21:09:58,9,1021,gaya,Night,8,0,threading-process,6
31-01-19,03:21:35,9,1546,gaya,Night,6,0,repair-proccess,7
09-01-19,11:28:28,9,1386,gaya,Day,14,0,repair-proccess,7
26-01-19,10:24:24,9,1567,gaya,Day,5,0,machine-malfunction,10
05-01-19,09:17:26,9,1393,gaya,Day,13,0,repair-proccess,7
13-01-19,09:13:49,9,1395,gaya,Day,6,0,threading-process,6
22-01-19,13:30:47,9,1107,gaya,Day,12,0,normal-operation,2
01-02-19,14:50:21,9,1305,gaya,Day,10,0,labour-malpractice,9
24-01-19,14:29:17,9,1888,gaya,Day,8,0,design-fixing,5
07-01-19,20:34:14,9,1302,gaya,Night,9,0,emboidery-inprocess,0
09-01-19,08:14:41,9,1519,gaya,Day,12,0,normal-operation,2
19-01-19,13:01:14,9,1669,gaya,Day,14,0,emboidery-inprocess,0
09-01-19,03:42:05,9,1626,gaya,Night,8,0,emboidery-inprocess,0
27-01-19,10:14:25,9,1555,gaya,Day,11,0,emboidery-inprocess,0
13-01-19,12:53:07,9,1469,gaya,Day,5,0,design-fixing,5
01-01-19,11:18:24,9,1030,gaya,Day,5,0,material-fixing,4
20-01-19,11:07:00,9,1114,gaya,Day,12,0,normal-operation,2
04-01-19,15:12:37,9,1127,gaya,Day,14,0,threading-process,6
08-01-19,13:50:12,9,1956,gaya,Day,15,0,material-fixing,4
28-01-19,01:43:48,9,1698,gaya,Night,12,0,repair-proccess,7
28-01-19,02:32:07,9,1388,gaya,Night,13,0,material-fixing,4
01-01-19,01:44:01,9,1025,gaya,Night,10,0,threading-process,6
30-01-19,19:54:26,9,1974,gaya,Night,7,0,normal-operation,2
17-01-19,11:01:05,9,1526,gaya,Day,10,0,design-fixing,5
02-01-19,12:04:05,9,1005,gaya,Day,9,0,machine-malfunction,10
02-01-19,12:59:40,9,1230,gaya,Day,5,0,machine-malfunction,10
27-01-19,08:36:15,9,1476,gaya,Day,11,0,emboidery-inprocess,0
13-01-19,11:18:45,10,1756,guntur,Day,11,0,machine-malfunction,10
23-01-19,13:17:46,10,1207,guntur,Day,8,0,labour-malpractice,9
28-01-19,11:59:46,10,1158,guntur,Day,15,0,machine-malfunction,10
29-01-19,20:16:32,10,1114,guntur,Night,14,0,emboidery-inprocess,0
14-01-19,03:50:30,10,1810,guntur,Night,10,0,repair-proccess,7
10-01-19,19:51:39,10,1653,guntur,Night,15,0,repair-proccess,7
